,town,number_of_schools,lon,lat
1166,"NH,Concord",4,-71.52482725,43.209183749999994
1167,"NH,Keene",3,-72.29805699999999,42.93592433333333
1168,"NH,Warner",1,-71.83444399999999,43.314908
1169,"NH,Bedford",1,-71.476135,42.957837
1170,"NH,Henniker",1,-71.822282,43.176403
1171,"NH,West Lebanon",1,-72.32142900000001,43.627356
1172,"NH,Manchester",7,-71.47372228571427,42.998713142857135
1173,"ME,Bridgton",2,-70.7061075,44.041993000000005
1174,"NH,Durham",1,-70.93246500000001,43.135934000000006
1175,"NH,Plymouth",1,-71.690164,43.759572999999996
1176,"NH,Berlin",1,-71.158535,44.503494
1177,"NH,Claremont",1,-72.333114,43.399046000000006
1178,"NH,Nashua",3,-71.486041,42.76113133333333
1179,"NH,Portsmouth",2,-70.779564,43.073912500000006
1180,"NH,Merrimack",2,-71.48635300000001,42.8054985
1181,"NJ,Hackensack",3,-74.03889966666667,40.89215633333333
1182,"NJ,Denville",2,-74.48497800000001,40.891694
1183,"NJ,Mays Landing",1,-74.680019,39.462081
1184,"NJ,Wayne",2,-74.228021,40.91537699999999
1185,"NJ,Paramus",4,-74.065415,40.93556725
1186,"NJ,Woodland Park",1,-74.189483,40.898587
1187,"NJ,Lakewood",16,-74.2049586875,40.089521375000004
1188,"NJ,Bloomfield",4,-74.19304299999999,40.80619675
1189,"NJ,Lincroft",1,-74.132746,40.324906
1190,"NJ,Mount Laurel",1,-74.894464,39.972204999999995
1191,"NJ,Caldwell",1,-74.272571,40.832753000000004
1192,"NJ,Blackwood",2,-75.05001999999999,39.7964075
1193,"NJ,Hackettstown",1,-74.83364399999999,40.847640000000006
1194,"NJ,Parsippany",1,-74.381367,40.861433
1195,"NJ,Iselin",2,-74.317375,40.5605555
1196,"NJ,CLIFTON",1,-74.130158,40.873515999999995
1197,"NJ,Clifton",2,-74.145826,40.8809045
1198,"NJ,Randolph",1,-74.57987299999999,40.859140999999994
1199,"NJ,Vineland",1,-75.057829,39.440537
1200,"NJ,ERIAL",1,-75.000877,39.747926
1201,"NJ,Madison",2,-74.42835249999999,40.7681635
1202,"NJ,South Plainfield",3,-74.42265433333334,40.54940066666667
1203,"NJ,Newark",7,-74.179967,40.73870228571429
1204,"NJ,Union",5,-74.25668,40.692927
1205,"NJ,Teaneck",1,-74.028986,40.897209000000004
1206,"NJ,Lodi",1,-74.096452,40.867272
1207,"NJ,Paterson",2,-74.16067950000001,40.913913
1208,"NJ,Glassboro",1,-75.119119,39.709108
1209,"NJ,Sewell",1,-75.121269,39.781339
1210,"NJ,Cherry Hill",5,-75.0228736,39.92698539999999
1211,"NJ,Ramsey",1,-74.131486,41.057866
1212,"NJ,Englewood Cliffs",1,-73.948887,40.874956
1213,"NJ,Jersey City",9,-74.06351577777778,40.728578
1214,"NJ,Dover",1,-74.552663,40.887315
1215,"NJ,Voorhees",3,-74.99670633333334,39.848946666666656
1216,"NJ,West Windsor",1,-74.650719,40.254397999999995
1217,"NJ,Edison",3,-74.36817233333333,40.52558833333333
1218,"NJ,West Long Branch",2,-74.01712699999999,40.2897425
1219,"NJ,Montclair",1,-74.198141,40.860414
1220,"NJ,Plainfield",2,-74.40429300000001,40.605982
1221,"NJ,Nutley",1,-74.144192,40.810742
1222,"NJ,New Brunswick",2,-74.4478095,40.5000415
1223,"NJ,West New York",1,-74.018286,40.786079
1224,"NJ,Toms River",3,-74.194002,40.01248666666667
1225,"NJ,Gloucester",1,-75.126308,39.898804999999996
1226,"NJ,Princeton",2,-74.6629075,40.3472905
1227,"NJ,Morristown",2,-74.4685005,40.7937625
1228,"NJ,Mahwah",2,-74.16146599999999,41.0823565
1229,"NJ,Lawrenceville",2,-74.7284675,40.269803499999995
